,ukraine,russia,NATO,refugees,defense,economy,economic sanctions,energy
0,russian,russian,nato,refugees,russian,economy,sanctions,energy
1,ukraine,russia,russian,refugee,defense,world,russian,economy
2,ukrainian,ukraine,ukraine,russian,ukraine,economic,russia,world
3,russia,ukrainian,russia,ukraine,ukrainian,billion,united,economic
4,forces,forces,military,people,military,largest,states,billion
5,march,military,ukrainian,ukrainian,forces,million,economic,million
6,military,said,forces,country,russia,government,government,power
7,said,march,said,countries,said,country,ukraine,government
8,invasion,invasion,united,united,missile,market,march,largest
9,february,february,states,million,march,china,iran,russian
10,april,april,membership,government,force,growth,international,russia
11,reported,reported,president,russia,united,sector,president,country
12,kyiv,kyiv,february,march,february,industry,said,market
13,president,president,minister,unhcr,reported,russian,military,china
14,according,troops,march,camps,defence,trade,foreign,united
15,people,stated,security,asylum,minister,ukraine,countries,ukraine
16,troops,putin,countries,invasion,states,russia,country,production
17,international,including,invasion,international,army,production,including,sector
18,stated,international,foreign,number,ministry,foreign,february,industry
19,force,city,troops,syrian,missiles,india,south,growth
20,killed,people,stated,world,troops,companies,imposed,countries
21,including,united,cartridge,states,president,countries,state,global
22,city,sanctions,april,april,foreign,united,invasion,states
23,government,government,defence,women,stated,bank,myanmar,companies
24,minister,june,force,nations,japan,states,israel,trade
25,near,nato,alliance,children,international,exports,april,india
26,foreign,minister,support,population,april,rate,companies,electricity
27,soldiers,announced,including,including,invasion,international,bank,foreign
28,putin,oblast,june,military,government,investment,ukrainian,total
29,united,world,member,displaced,department,energy,minister,natural
30,oblast,july,country,european,national,total,nations,european
31,european,soldiers,putin,forces,nato,global,people,international
32,nato,according,government,crisis,including,development,trade,year
33,refugees,state,north,reported,announced,state,european,development
34,june,near,round,years,security,major,security,national
35,claimed,ministry,members,said,systems,year,announced,rate
36,ministry,killed,general,february,july,producer,individuals,bank
37,officials,states,army,resettlement,people,according,june,investment
38,july,claimed,international,rights,kyiv,european,council,including
39,civilians,foreign,finland,according,oblast,years,embargo,exports
40,attack,civilians,european,camp,city,including,financial,state
41,announced,country,europe,president,base,national,world,nuclear
42,state,donbas,treaty,border,support,tons,billion,years
43,country,countries,council,health,secretary,circular,according,renewable
44,zelenskyy,defence,january,europe,putin,products,union,march
45,region,officials,reported,minister,june,iran,rights,company
46,countries,security,atlantic,boat,near,services,reported,according
47,donetsk,russians,turkey,status,artillery,japan,resolution,major
48,defense,attack,party,state,control,industrial,cuba,producer
49,donbas,border,union,human,north,financial,support,people
50,mariupol,january,state,migration,kharkiv,power,august,june
51,shot,european,defense,zealand,weapons,income,july,food
52,later,region,join,protection,south,exchange,national,europe
53,army,media,announced,july,officials,domestic,africa,prices
54,states,donetsk,germany,rohingya,armed,debt,north,large
55,border,later,time,june,killed,public,sanctioned,high
56,number,luhansk,kyiv,high,january,ukrainian,political,products
57,defence,human,sweden,humanitarian,general,natural,nuclear,coal
58,security,general,following,following,nuclear,business,american,increased
59,captured,zelenskyy,soviet,support,budget,goods,human,public
60,destroyed,armed,people,turkey,attack,large,million,industrial
61,general,following,prime,fled,aircraft,percent,policy,increase
62,luhansk,rights,weapons,august,region,people,forces,services
63,armed,army,summit,announced,service,private,china,consumption
64,eastern,moscow,eastern,violence,donbas,increased,economy,number
65,fighting,crimea,ministry,germany,legion,high,list,financial
