,ukraine,russia,NATO,refugees,defense,economy,economic sanctions,energy
0,russian,russian,nato,refugees,defense,economy,sanction,energy
1,ukraine,russia,ukraine,refugee,russian,world,russian,economy
2,ukrainian,ukraine,state,ukraine,force,economic,russia,world
3,force,ukrainian,russian,russian,ukraine,market,state,gas
4,russia,force,summit,championships,ukrainian,largest,unite,russia
5,march,march,force,ukrainian,military,state,ukraine,economic
6,state,state,russia,state,minister,billion,economic,market
7,military,war,military,people,air,gdp,iran,state
8,war,military,membership,camp,state,million,impose,russian
9,invasion,say,party,unhcr,russia,bank,war,power
10,kill,invasion,join,athletes,missile,export,international,largest
11,attack,oblast,ukrainian,countries,japan,russia,march,billion
12,report,report,unite,war,national,trade,include,gdp
13,say,february,war,european,department,country,government,company
14,claim,kyiv,alliance,country,earth,ukraine,south,ukraine
15,february,attack,turkey,unite,game,russian,company,oil
16,kyiv,april,support,number,war,government,bank,electricity
17,april,sanction,atlantic,government,secretary,company,countries,million
18,include,kill,minister,russia,unite,digital,say,export
19,people,claim,member,million,say,growth,act,government
20,th,city,security,asylum,base,sector,foreign,increase
21,accord,president,finland,invasion,president,include,trade,bank
22,president,putin,countries,include,ministry,industry,president,country
23,city,include,president,march,include,production,oil,production
24,kherson,kherson,say,women,army,th,africa,countries
25,nato,troop,march,rohingya,new,china,ukrainian,renewable
26,soldier,july,treaty,list,senate,oil,invasion,price
27,international,th,sweden,athletics,ship,india,embargo,include
28,government,people,members,team,th,service,eu,sector
29,troop,nato,foreign,international,aircraft,foreign,individuals,trade
30,oblast,border,mm,world,philippine,increase,country,natural
31,european,international,february,right,defence,countries,iranian,growth
32,july,day,meet,migration,budget,plan,nations,fuel
33,capture,june,north,afghanistan,thaad,total,list,china
34,air,gas,ally,august,report,energy,cuba,coal
35,putin,soldier,include,flee,missiles,unite,support,unite
36,day,world,air,new,service,global,iraq,global
37,refugees,shell,invasion,afghan,march,rate,military,nuclear
38,general,company,general,olympic,release,producer,security,india
39,begin,begin,june,resettlement,territorial,canada,minister,european
40,minister,announce,council,india,government,taiwan,european,new
41,fight,general,secretary,report,security,iran,india,heat
42,genocide,government,country,population,japanese,new,north,th
43,defense,foreign,troop,romania,systems,tons,resolution,storage
44,civilians,fire,attack,nations,act,japan,new,industry
45,women,accord,exercise,poland,oblast,gas,ban,import
46,foreign,unite,government,force,dau,political,february,foreign
47,june,minister,georgia,boat,kharkiv,import,force,plan
48,army,countries,article,follow,support,year,export,year
49,donetsk,control,new,provide,meet,nigeria,financial,service
50,unite,russians,defence,athlete,arm,investment,people,food
51,battle,august,europe,traffic,command,development,april,digital
52,offensive,group,april,crisis,nuclear,romania,apartheid,total
53,shell,arm,time,iom,train,international,announce,consumption
54,border,battle,command,leave,north,pakistan,report,germany
55,near,media,union,germany,supply,circular,myanmar,development
56,countries,occupy,round,syrian,troop,grow,council,supply
57,group,capture,european,cliff,january,poland,bds,plant
58,mariupol,donbas,follow,work,acquisition,price,korea,europe
59,eu,near,soviet,award,weapons,serbia,union,station
60,arm,team,non,pakistan,tripoli,australia,american,time
61,donbas,call,ireland,displace,daniel,tanzania,june,report
62,officials,european,response,host,kill,economies,african,eu
63,control,moscow,operation,convention,south,european,putin,wind
64,support,region,cartridge,reside,april,account,skidelsky,producer
65,media,army,relations,live,volunteer,exchange,vekselberg,international
66,announce,country,germany,protection,version,turkey,china,fossil
67,ministry,luhansk,take,estimate,international,egypt,goods,rate
68,zelenskyy,right,lead,children,korean,ukrainian,target,investment
69,number,bank,army,zealand,aviation,green,accord,tons
70,belarus,host,brussels,military,february,power,ecowas,national
71,shoot,follow,policy,indonesia,attack,croatia,billion,account
72,country,law,international,violence,city,major,treasury,solar
73,right,moskva,deploy,compete,self,value,nuclear,use
74,conflict,time,eastern,receive,jsdf,high,entities,people
75,belarusian,donetsk,prime,citizens,playstation,brazil,russians,gazprom
76,call,hold,hold,result,serve,eu,assets,japan
77,destroy,support,putin,border,group,accord,august,high
78,sanction,soviet,major,sexual,july,trillion,venezuela,grow
79,million,officials,plan,events,house,term,follow,announce
80,crimes,sievierodonetsk,cold,article,list,capitalism,nato,political
81,august,zelenskyy,organization,munich,general,goods,national,term
82,luhansk,civilians,head,directive,dla,income,belarusian,tax
83,region,january,irish,human,artillery,spain,world,source
84,time,place,report,minister,foreign,sri,anti,invasion
85,later,plant,number,years,claim,report,singh,uk
86,violence,explosions,defense,bangladesh,company,develop,intelligence,follow
87,weapons,ship,arm,afghans,vessels,percent,political,level
88,list,ministry,call,health,agency,products,freeze,major
89,vehicles,mcdonald,announce,aid,legion,economics,import,develop
90,republic,operations,aircraft,resettle,june,public,measure,accord
91,strike,fight,partnership,eu,announce,france,call,generate
92,union,offensive,france,persons,office,private,syrian,poland
93,russians,later,rank,status,head,industrial,food,result
94,january,elections,turkish,case,korea,years,israel,group
95,volunteer,security,nrf,reference,year,burma,syria,economies
96,ukrainians,new,use,high,brigade,time,maduro,iran
97,world,case,joint,february,su,rat,taiwan,cost
98,ship,referendum,list,april,lease,natural,summit,crisis
99,equipment,strike,sign,europe,time,national,th,demand
100,take,human,sea,sport,control,debt,policy,products
101,sexual,default,political,group,hold,lanka,economy,exchange
102,aid,protest,stoltenberg,alek,program,spanish,right,generation
103,act,use,poll,competitors,billion,estimate,response,years
104,damage,list,flag,july,law,socialism,order,public
105,advance,europe,race,accord,soldier,europe,group,produce
